,Action,State (Before),State (After),Total Reward
215,0,[ 0.43527794 -0.00791573 -0.00879788  0.03193155],[ 0.4351196  -0.20291042 -0.00815925  0.3218257 ],215
216,1,[ 0.4351196  -0.20291042 -0.00815925  0.3218257 ],[ 0.43106142 -0.00767323 -0.00172274  0.0265809 ],216
217,0,[ 0.43106142 -0.00767323 -0.00172274  0.0265809 ],[ 0.43090793 -0.20277044 -0.00119112  0.31871977],217
218,0,[ 0.43090793 -0.20277044 -0.00119112  0.31871977],[ 0.42685252 -0.3978754   0.00518328  0.6110268 ],218
219,1,[ 0.42685252 -0.3978754   0.00518328  0.6110268 ],[ 0.41889504 -0.20282628  0.01740381  0.31998095],219
220,1,[ 0.41889504 -0.20282628  0.01740381  0.31998095],[ 0.4148385  -0.00795645  0.02380343  0.03283696],220
221,1,[ 0.4148385  -0.00795645  0.02380343  0.03283696],[ 0.41467938  0.1868162   0.02446017 -0.25224173],221
222,1,[ 0.41467938  0.1868162   0.02446017 -0.25224173],[ 0.4184157   0.3815805   0.01941534 -0.5371102 ],222
223,1,[ 0.4184157   0.3815805   0.01941534 -0.5371102 ],[ 0.4260473   0.5764242   0.00867313 -0.82361287],223
224,1,[ 0.4260473   0.5764242   0.00867313 -0.82361287],[ 0.4375758   0.7714264  -0.00779912 -1.1135553 ],224
225,0,[ 0.4375758   0.7714264  -0.00779912 -1.1135553 ],[ 0.4530043   0.57640773 -0.03007023 -0.82332915],225
226,0,[ 0.4530043   0.57640773 -0.03007023 -0.82332915],[ 0.46453246  0.38170975 -0.04653681 -0.5402535 ],226
227,0,[ 0.46453246  0.38170975 -0.04653681 -0.5402535 ],[ 0.47216666  0.18727179 -0.05734188 -0.26258925],227
228,0,[ 0.47216666  0.18727179 -0.05734188 -0.26258925],[ 0.4759121  -0.00698676 -0.06259367  0.01147039],228
229,0,[ 0.4759121  -0.00698676 -0.06259367  0.01147039],[ 0.47577235 -0.2011578  -0.06236426  0.28376603],229
230,0,[ 0.47577235 -0.2011578  -0.06236426  0.28376603],[ 0.47174922 -0.39533737 -0.05668894  0.55614597],230
231,0,[ 0.47174922 -0.39533737 -0.05668894  0.55614597],[ 0.46384245 -0.5896195  -0.04556602  0.83044344],231
232,0,[ 0.46384245 -0.5896195  -0.04556602  0.83044344],[ 0.45205006 -0.78409004 -0.02895715  1.1084546 ],232
233,1,[ 0.45205006 -0.78409004 -0.02895715  1.1084546 ],[ 0.43636826 -0.5885997  -0.00678806  0.80682987],233
234,1,[ 0.43636826 -0.5885997  -0.00678806  0.80682987],[ 0.42459628 -0.39338538  0.00934854  0.51201946],234
235,1,[ 0.42459628 -0.39338538  0.00934854  0.51201946],[ 0.41672856 -0.19839634  0.01958892  0.2222971 ],235
236,1,[ 0.41672856 -0.19839634  0.01958892  0.2222971 ],[ 0.41276065 -0.00355978  0.02403487 -0.0641429 ],236
237,1,[ 0.41276065 -0.00355978  0.02403487 -0.0641429 ],[ 0.41268945  0.19120948  0.02275201 -0.3491468 ],237
238,1,[ 0.41268945  0.19120948  0.02275201 -0.3491468 ],[ 0.41651362  0.38600057  0.01576907 -0.63456935],238
239,1,[ 0.41651362  0.38600057  0.01576907 -0.63456935],[ 0.42423365  0.58089906  0.00307769 -0.9222448 ],239
240,1,[ 0.42423365  0.58089906  0.00307769 -0.9222448 ],[ 0.43585163  0.7759793  -0.01536721 -1.213959  ],240
241,0,[ 0.43585163  0.7759793  -0.01536721 -1.213959  ],[ 0.45137122  0.581059   -0.03964639 -0.9261307 ],241
242,0,[ 0.45137122  0.581059   -0.03964639 -0.9261307 ],[ 0.4629924  0.3864942 -0.058169  -0.6461659],242
243,0,[ 0.4629924  0.3864942 -0.058169  -0.6461659],[ 0.4707223   0.19222896 -0.07109232 -0.37235296],243
244,0,[ 0.4707223   0.19222896 -0.07109232 -0.37235296],[ 0.47456685 -0.00181482 -0.07853938 -0.10290605],244
245,0,[ 0.47456685 -0.00181482 -0.07853938 -0.10290605],[ 0.47453055 -0.1957285  -0.0805975   0.16400097],245
246,0,[ 0.47453055 -0.1957285  -0.0805975   0.16400097],[ 0.47061598 -0.38960972 -0.07731748  0.4302087 ],246
247,0,[ 0.47061598 -0.38960972 -0.07731748  0.4302087 ],[ 0.4628238  -0.58355653 -0.06871331  0.6975511 ],247
248,0,[ 0.4628238  -0.58355653 -0.06871331  0.6975511 ],[ 0.45115265 -0.77766174 -0.05476229  0.967836  ],248
249,1,[ 0.45115265 -0.77766174 -0.05476229  0.967836  ],[ 0.43559942 -0.581849   -0.03540557  0.6584651 ],249
250,1,[ 0.43559942 -0.581849   -0.03540557  0.6584651 ],[ 0.42396244 -0.38625255 -0.02223627  0.3548473 ],250
251,1,[ 0.42396244 -0.38625255 -0.02223627  0.3548473 ],[ 0.4162374  -0.19082162 -0.01513932  0.05523643],251
252,0,[ 0.4162374  -0.19082162 -0.01513932  0.05523643],[ 0.41242096 -0.38572326 -0.01403459  0.3431046 ],252
253,1,[ 0.41242096 -0.38572326 -0.01403459  0.3431046 ],[ 0.4047065  -0.19040449 -0.0071725   0.04602926],253
254,1,[ 0.4047065  -0.19040449 -0.0071725   0.04602926],[ 0.40089843  0.00481958 -0.00625191 -0.248908  ],254
255,0,[ 0.40089843  0.00481958 -0.00625191 -0.248908  ],[ 0.4009948  -0.19021253 -0.01123007  0.0417964 ],255
256,0,[ 0.4009948  -0.19021253 -0.01123007  0.0417964 ],[ 0.39719054 -0.38517165 -0.01039414  0.3309151 ],256
257,0,[ 0.39719054 -0.38517165 -0.01039414  0.3309151 ],[ 0.38948712 -0.5801441  -0.00377584  0.62030214],257
258,1,[ 0.38948712 -0.5801441  -0.00377584  0.62030214],[ 0.37788424 -0.38496965  0.0086302   0.32643244],258
259,0,[ 0.37788424 -0.38496965  0.0086302   0.32643244],[ 0.37018484 -0.5802134   0.01515885  0.6218244 ],259
260,0,[ 0.37018484 -0.5802134   0.01515885  0.6218244 ],[ 0.3585806  -0.7755437   0.02759534  0.91924274],260
261,1,[ 0.3585806  -0.7755437   0.02759534  0.91924274],[ 0.3430697  -0.5808054   0.04598019  0.6353585 ],261
262,1,[ 0.3430697  -0.5808054   0.04598019  0.6353585 ],[ 0.3314536  -0.3863539   0.05868736  0.35750294],262
263,1,[ 0.3314536  -0.3863539   0.05868736  0.35750294],[ 0.3237265  -0.19211328  0.06583742  0.08388779],263
264,1,[ 0.3237265  -0.19211328  0.06583742  0.08388779],[ 0.31988424  0.00200616  0.06751518 -0.18731833],264
265,1,[ 0.31988424  0.00200616  0.06751518 -0.18731833],[ 0.31992438  0.19610046  0.06376881 -0.45796207],265
266,1,[ 0.31992438  0.19610046  0.06376881 -0.45796207],[ 0.32384637  0.3902657   0.05460957 -0.72988266],266
267,1,[ 0.32384637  0.3902657   0.05460957 -0.72988266],[ 0.3316517   0.58459204  0.04001192 -1.0048903 ],267
268,0,[ 0.3316517   0.58459204  0.04001192 -1.0048903 ],[ 0.34334353  0.38895917  0.01991411 -0.6999156 ],268
269,0,[ 0.34334353  0.38895917  0.01991411 -0.6999156 ],[ 0.3511227   0.19356687  0.0059158  -0.4010309 ],269
270,0,[ 0.3511227   0.19356687  0.0059158  -0.4010309 ],[ 0.35499406 -0.00163848 -0.00210482 -0.10648875],270
271,0,[ 0.35499406 -0.00163848 -0.00210482 -0.10648875],[ 0.35496128 -0.19673021 -0.0042346   0.18552938],271
272,0,[ 0.35496128 -0.19673021 -0.0042346   0.18552938],[ 0.35102668 -0.3917913  -0.00052401  0.47687346],272
273,0,[ 0.35102668 -0.3917913  -0.00052401  0.47687346],[ 0.34319085 -0.58690584  0.00901346  0.7693912 ],273
274,1,[ 0.34319085 -0.58690584  0.00901346  0.7693912 ],[ 0.33145273 -0.39190912  0.02440128  0.47955787],274
275,1,[ 0.33145273 -0.39190912  0.02440128  0.47955787],[ 0.32361457 -0.19714     0.03399244  0.1946644 ],275
276,1,[ 0.32361457 -0.19714     0.03399244  0.1946644 ],[ 0.31967175 -0.00252036  0.03788573 -0.08710454],276
277,1,[ 0.31967175 -0.00252036  0.03788573 -0.08710454],[ 0.31962135  0.19203863  0.03614364 -0.36759788],277
278,1,[ 0.31962135  0.19203863  0.03614364 -0.36759788],[ 0.32346213  0.38662884  0.02879168 -0.64866865],278
279,1,[ 0.32346213  0.38662884  0.02879168 -0.64866865],[ 0.3311947   0.5813381   0.01581831 -0.9321479 ],279
280,1,[ 0.3311947   0.5813381   0.01581831 -0.9321479 ],[ 0.34282145  0.7762431  -0.00282465 -1.2198185 ],280
281,0,[ 0.34282145  0.7762431  -0.00282465 -1.2198185 ],[ 0.3583463   0.5811577  -0.02722102 -0.9280219 ],281
282,0,[ 0.3583463   0.5811577  -0.02722102 -0.9280219 ],[ 0.3699695   0.3864136  -0.04578146 -0.644016  ],282
283,0,[ 0.3699695   0.3864136  -0.04578146 -0.644016  ],[ 0.37769774  0.19195859 -0.05866178 -0.36609417],283
284,0,[ 0.37769774  0.19195859 -0.05866178 -0.36609417],[ 0.38153693 -0.00228281 -0.06598366 -0.09246992],284
285,0,[ 0.38153693 -0.00228281 -0.06598366 -0.09246992],[ 0.38149127 -0.1964     -0.06783306  0.17868711],285
286,0,[ 0.38149127 -0.1964     -0.06783306  0.17868711],[ 0.37756327 -0.39048898 -0.06425932  0.4492234 ],286
287,0,[ 0.37756327 -0.39048898 -0.06425932  0.4492234 ],[ 0.36975348 -0.5846459  -0.05527485  0.72097856],287
288,0,[ 0.36975348 -0.5846459  -0.05527485  0.72097856],[ 0.35806057 -0.7789614  -0.04085528  0.995764  ],288
289,0,[ 0.35806057 -0.7789614  -0.04085528  0.995764  ],[ 0.34248134 -0.97351384 -0.02094     1.275341  ],289
290,1,[ 0.34248134 -0.97351384 -0.02094     1.275341  ],[ 0.32301107 -0.7781312   0.00456682  0.97617537],290
291,1,[ 0.32301107 -0.7781312   0.00456682  0.97617537],[ 0.30744845 -0.58307076  0.02409033  0.6849305 ],291
292,1,[ 0.30744845 -0.58307076  0.02409033  0.6849305 ],[ 0.29578704 -0.38829142  0.03778894  0.3999281 ],292
293,1,[ 0.29578704 -0.38829142  0.03778894  0.3999281 ],[ 0.2880212  -0.19372532  0.04578751  0.11939463],293
294,1,[ 0.2880212  -0.19372532  0.04578751  0.11939463],[ 0.2841467   0.00071172  0.0481754  -0.15849844],294
295,1,[ 0.2841467   0.00071172  0.0481754  -0.15849844],[ 0.2841609   0.19511202  0.04500543 -0.4356025 ],295
296,1,[ 0.2841609   0.19511202  0.04500543 -0.4356025 ],[ 0.28806317  0.38956892  0.03629338 -0.7137654 ],296
297,1,[ 0.28806317  0.38956892  0.03629338 -0.7137654 ],[ 0.29585454  0.5841701   0.02201807 -0.994807  ],297
298,0,[ 0.29585454  0.5841701   0.02201807 -0.994807  ],[ 0.30753794  0.3887607   0.00212193 -0.6952911 ],298
299,0,[ 0.30753794  0.3887607   0.00212193 -0.6952911 ],[ 0.31531316  0.19360937 -0.01178389 -0.40194097],299
300,0,[ 0.31531316  0.19360937 -0.01178389 -0.40194097],[ 0.31918535 -0.00134347 -0.01982271 -0.11299638],300
301,0,[ 0.31918535 -0.00134347 -0.01982271 -0.11299638],[ 0.31915846 -0.19617586 -0.02208264  0.17336728],301
302,0,[ 0.31915846 -0.19617586 -0.02208264  0.17336728],[ 0.31523496 -0.3909749  -0.01861529  0.45900285],302
303,0,[ 0.31523496 -0.3909749  -0.01861529  0.45900285],[ 0.30741546 -0.58582884 -0.00943524  0.7457605 ],303
304,1,[ 0.30741546 -0.58582884 -0.00943524  0.7457605 ],[ 0.29569888 -0.39057797  0.00547997  0.45012334],304
305,1,[ 0.29569888 -0.39057797  0.00547997  0.45012334],[ 0.28788733 -0.19553396  0.01448244  0.15917282],305
306,1,[ 0.28788733 -0.19553396  0.01448244  0.15917282],[ 0.28397664 -0.00062231  0.0176659  -0.12890631],306
307,1,[ 0.28397664 -0.00062231  0.0176659  -0.12890631],[ 0.2839642   0.19424218  0.01508777 -0.41596392],307
308,1,[ 0.2839642   0.19424218  0.01508777 -0.41596392],[ 0.28784904  0.38914707  0.00676849 -0.70385236],308
309,0,[ 0.28784904  0.38914707  0.00676849 -0.70385236],[ 0.29563197  0.193932   -0.00730856 -0.40904653],309
310,0,[ 0.29563197  0.193932   -0.00730856 -0.40904653],[ 0.29951063 -0.00108558 -0.01548949 -0.11867667],310
311,0,[ 0.29951063 -0.00108558 -0.01548949 -0.11867667],[ 0.2994889  -0.19598222 -0.01786302  0.16907948],311
312,0,[ 0.2994889  -0.19598222 -0.01786302  0.16907948],[ 0.29556927 -0.390844   -0.01448143  0.45607406],312
313,0,[ 0.29556927 -0.390844   -0.01448143  0.45607406],[ 0.2877524  -0.5857582  -0.00535995  0.7441574 ],313
314,1,[ 0.2877524  -0.5857582  -0.00535995  0.7441574 ],[ 0.27603722 -0.3905627   0.0095232   0.4497925 ],314
315,1,[ 0.27603722 -0.3905627   0.0095232   0.4497925 ],[ 0.26822597 -0.19557676  0.01851905  0.1601266 ],315
316,1,[ 0.26822597 -0.19557676  0.01851905  0.1601266 ],[ 0.26431444 -0.00072476  0.02172158 -0.126657  ],316
317,1,[ 0.26431444 -0.00072476  0.02172158 -0.126657  ],[ 0.26429993  0.19407938  0.01918844 -0.41240865],317
318,1,[ 0.26429993  0.19407938  0.01918844 -0.41240865],[ 0.26818153  0.38892415  0.01094027 -0.6989809 ],318
319,1,[ 0.26818153  0.38892415  0.01094027 -0.6989809 ],[ 0.27596     0.5838927  -0.00303935 -0.9881999 ],319
320,0,[ 0.27596     0.5838927  -0.00303935 -0.9881999 ],[ 0.28763786  0.3888116  -0.02280335 -0.6964731 ],320
321,0,[ 0.28763786  0.3888116  -0.02280335 -0.6964731 ],[ 0.2954141   0.1940132  -0.03673281 -0.4110551 ],321
322,0,[ 0.2954141   0.1940132  -0.03673281 -0.4110551 ],[ 0.29929435 -0.00056929 -0.04495391 -0.13017528],322
323,0,[ 0.29929435 -0.00056929 -0.04495391 -0.13017528],[ 0.29928297 -0.19501941 -0.04755742  0.14799324],323
324,0,[ 0.29928297 -0.19501941 -0.04755742  0.14799324],[ 0.2953826  -0.3894292  -0.04459755  0.4253016 ],324
325,0,[ 0.2953826  -0.3894292  -0.04459755  0.4253016 ],[ 0.287594   -0.583892   -0.03609152  0.70359844],325
326,0,[ 0.287594   -0.583892   -0.03609152  0.70359844],[ 0.27591616 -0.77849567 -0.02201955  0.98470527],326
327,0,[ 0.27591616 -0.77849567 -0.02201955  0.98470527],[ 0.26034623 -0.9733159  -0.00232545  1.2703915 ],327
328,1,[ 0.26034623 -0.9733159  -0.00232545  1.2703915 ],[ 0.24087992 -0.7781643   0.02308238  0.9769812 ],328
329,1,[ 0.24087992 -0.7781643   0.02308238  0.9769812 ],[ 0.22531664 -0.58335936  0.04262201  0.6916373 ],329
330,1,[ 0.22531664 -0.58335936  0.04262201  0.6916373 ],[ 0.21364945 -0.3888539   0.05645475  0.41267112],330
331,1,[ 0.21364945 -0.3888539   0.05645475  0.41267112],[ 0.20587237 -0.19457576  0.06470817  0.13830705],331
332,1,[ 0.20587237 -0.19457576  0.06470817  0.13830705],[ 0.20198086 -0.00043741  0.06747431 -0.13328007],332
333,1,[ 0.20198086 -0.00043741  0.06747431 -0.13328007],[ 0.20197211  0.1936564   0.06480871 -0.4039359 ],333
334,1,[ 0.20197211  0.1936564   0.06480871 -0.4039359 ],[ 0.20584524  0.3878022   0.05673    -0.67550284],334
335,1,[ 0.20584524  0.3878022   0.05673    -0.67550284],[ 0.21360129  0.58209187  0.04321994 -0.94979876],335
336,0,[ 0.21360129  0.58209187  0.04321994 -0.94979876],[ 0.22524312  0.3864156   0.02422396 -0.6438558 ],336
337,0,[ 0.22524312  0.3864156   0.02422396 -0.6438558 ],[ 0.23297143  0.19096456  0.01134685 -0.34364408],337
338,0,[ 0.23297143  0.19096456  0.01134685 -0.34364408],[ 0.23679073 -0.00431695  0.00447397 -0.04740477],338
339,0,[ 0.23679073 -0.00431695  0.00447397 -0.04740477],[ 0.2367044  -0.19950277  0.00352587  0.24668637],339
340,0,[ 0.2367044  -0.19950277  0.00352587  0.24668637],[ 0.23271434 -0.3946749   0.0084596   0.54047936],340
341,0,[ 0.23271434 -0.3946749   0.0084596   0.54047936],[ 0.22482084 -0.58991474  0.01926919  0.8358157 ],341
342,1,[ 0.22482084 -0.58991474  0.01926919  0.8358157 ],[ 0.21302254 -0.39506122  0.0359855   0.5492545 ],342
343,1,[ 0.21302254 -0.39506122  0.0359855   0.5492545 ],[ 0.20512132 -0.20046276  0.04697059  0.2681232 ],343
344,1,[ 0.20512132 -0.20046276  0.04697059  0.2681232 ],[ 0.20111206 -0.00604151  0.05233305 -0.00938272],344
345,1,[ 0.20111206 -0.00604151  0.05233305 -0.00938272],[ 0.20099123  0.18829238  0.0521454  -0.2851056 ],345
346,1,[ 0.20099123  0.18829238  0.0521454  -0.2851056 ],[ 0.20475708  0.38263336  0.04644329 -0.560897  ],346
347,1,[ 0.20475708  0.38263336  0.04644329 -0.560897  ],[ 0.21240975  0.57707375  0.03522535 -0.8385937 ],347
348,1,[ 0.21240975  0.57707375  0.03522535 -0.8385937 ],[ 0.22395122  0.77169746  0.01845348 -1.119994  ],348
349,1,[ 0.22395122  0.77169746  0.01845348 -1.119994  ],[ 0.23938517  0.9665725  -0.00394641 -1.4068319 ],349
350,0,[ 0.23938517  0.9665725  -0.00394641 -1.4068319 ],[ 0.2587166   0.7714998  -0.03208304 -1.1153853 ],350
351,0,[ 0.2587166   0.7714998  -0.03208304 -1.1153853 ],[ 0.27414662  0.57681334 -0.05439075 -0.8329367 ],351
352,0,[ 0.27414662  0.57681334 -0.05439075 -0.8329367 ],[ 0.2856829   0.38247514 -0.07104948 -0.55784345],352
353,0,[ 0.2856829   0.38247514 -0.07104948 -0.55784345],[ 0.2933324   0.18841873 -0.08220635 -0.2883642 ],353
354,0,[ 0.2933324   0.18841873 -0.08220635 -0.2883642 ],[ 0.29710075 -0.00544058 -0.08797364 -0.0226987 ],354
355,0,[ 0.29710075 -0.00544058 -0.08797364 -0.0226987 ],[ 0.29699194 -0.19919796 -0.08842761  0.24098253],355
356,0,[ 0.29699194 -0.19919796 -0.08842761  0.24098253],[ 0.293008   -0.39295277 -0.08360796  0.50451535],356
357,0,[ 0.293008   -0.39295277 -0.08360796  0.50451535],[ 0.28514895 -0.5868031  -0.07351765  0.76972294],357
358,0,[ 0.28514895 -0.5868031  -0.07351765  0.76972294],[ 0.27341288 -0.78084034 -0.05812319  1.0383979 ],358
359,1,[ 0.27341288 -0.78084034 -0.05812319  1.0383979 ],[ 0.25779608 -0.5849961  -0.03735524  0.7280491 ],359
360,1,[ 0.25779608 -0.5849961  -0.03735524  0.7280491 ],[ 0.24609615 -0.38937822 -0.02279425  0.42384708],360
361,1,[ 0.24609615 -0.38937822 -0.02279425  0.42384708],[ 0.23830858 -0.19394091 -0.01431731  0.12406632],361
362,1,[ 0.23830858 -0.19394091 -0.01431731  0.12406632],[ 0.23442976  0.0013832  -0.01183599 -0.17309897],362
363,1,[ 0.23442976  0.0013832  -0.01183599 -0.17309897],[ 0.23445743  0.19667253 -0.01529797 -0.46949214],363
364,1,[ 0.23445743  0.19667253 -0.01529797 -0.46949214],[ 0.23839088  0.3920072  -0.02468781 -0.7669573 ],364
365,0,[ 0.23839088  0.3920072  -0.02468781 -0.7669573 ],[ 0.24623102  0.19723369 -0.04002696 -0.48214352],365
366,0,[ 0.24623102  0.19723369 -0.04002696 -0.48214352],[ 0.25017568  0.00269889 -0.04966982 -0.20233984],366
367,0,[ 0.25017568  0.00269889 -0.04966982 -0.20233984],[ 0.2502297  -0.1916788  -0.05371662  0.07427021],367
368,0,[ 0.2502297  -0.1916788  -0.05371662  0.07427021],[ 0.2463961  -0.3859912  -0.05223122  0.34953326],368
369,0,[ 0.2463961  -0.3859912  -0.05223122  0.34953326],[ 0.23867628 -0.5803329  -0.04524055  0.6252993 ],369
370,0,[ 0.23867628 -0.5803329  -0.04524055  0.6252993 ],[ 0.22706962 -0.77479506 -0.03273457  0.90339786],370
371,0,[ 0.22706962 -0.77479506 -0.03273457  0.90339786],[ 0.21157372 -0.9694587  -0.01466661  1.1856146 ],371
372,1,[ 0.21157372 -0.9694587  -0.01466661  1.1856146 ],[ 0.19218454 -0.7741496   0.00904568  0.8883707 ],372
373,1,[ 0.19218454 -0.7741496   0.00904568  0.8883707 ],[ 0.17670155 -0.5791516   0.0268131   0.598545  ],373
374,1,[ 0.17670155 -0.5791516   0.0268131   0.598545  ],[ 0.16511852 -0.38441485  0.038784    0.31442705],374
375,1,[ 0.16511852 -0.38441485  0.038784    0.31442705],[ 0.15743022 -0.18986621  0.04507254  0.0342232 ],375
376,1,[ 0.15743022 -0.18986621  0.04507254  0.0342232 ],[ 0.1536329   0.00458137  0.045757   -0.24390513],376
377,1,[ 0.1536329   0.00458137  0.045757   -0.24390513],[ 0.15372452  0.1990209   0.0408789  -0.5218113 ],377
378,1,[ 0.15372452  0.1990209   0.0408789  -0.5218113 ],[ 0.15770495  0.39354432  0.03044268 -0.8013376 ],378
379,0,[ 0.15770495  0.39354432  0.03044268 -0.8013376 ],[ 0.16557583  0.19801837  0.01441592 -0.4992358 ],379
380,0,[ 0.16557583  0.19801837  0.01441592 -0.4992358 ],[ 0.1695362   0.00269618  0.00443121 -0.20204483],380
381,0,[ 0.1695362   0.00269618  0.00443121 -0.20204483],[ 0.16959012 -0.19248886  0.00039031  0.09203263],381
382,0,[ 0.16959012 -0.19248886  0.00039031  0.09203263],[ 0.16574034 -0.3876164   0.00223096  0.38483867],382
383,0,[ 0.16574034 -0.3876164   0.00223096  0.38483867],[ 0.15798801 -0.58276993  0.00992774  0.67822415],383
384,1,[ 0.15798801 -0.58276993  0.00992774  0.67822415],[ 0.14633262 -0.3877873   0.02349222  0.38868335],384
385,1,[ 0.14633262 -0.3877873   0.02349222  0.38868335],[ 0.13857687 -0.19300656  0.03126588  0.1034989 ],385
386,1,[ 0.13857687 -0.19300656  0.03126588  0.1034989 ],[ 0.13471673  0.00165369  0.03333586 -0.17915809],386
387,1,[ 0.13471673  0.00165369  0.03333586 -0.17915809],[ 0.13474981  0.19628313  0.0297527  -0.46114114],387
388,1,[ 0.13474981  0.19628313  0.0297527  -0.46114114],[ 0.13867548  0.3909722   0.02052988 -0.7442995 ],388
389,1,[ 0.13867548  0.3909722   0.02052988 -0.7442995 ],[ 0.14649493  0.5858049   0.00564389 -1.0304515 ],389
390,0,[ 0.14649493  0.5858049   0.00564389 -1.0304515 ],[ 0.15821102  0.3906083  -0.01496514 -0.7360021 ],390
391,0,[ 0.15821102  0.3906083  -0.01496514 -0.7360021 ],[ 0.16602318  0.19569623 -0.02968518 -0.44806626],391
392,0,[ 0.16602318  0.19569623 -0.02968518 -0.44806626],[ 0.1699371   0.00100649 -0.03864651 -0.1648865 ],392
393,0,[ 0.1699371   0.00100649 -0.03864651 -0.1648865 ],[ 0.16995724 -0.19354154 -0.04194424  0.1153584 ],393
394,0,[ 0.16995724 -0.19354154 -0.04194424  0.1153584 ],[ 0.1660864  -0.3880382  -0.03963707  0.39451876],394
395,0,[ 0.1660864  -0.3880382  -0.03963707  0.39451876],[ 0.15832564 -0.5825759  -0.0317467   0.674446  ],395
396,0,[ 0.15832564 -0.5825759  -0.0317467   0.674446  ],[ 0.14667413 -0.77724266 -0.01825778  0.95696694],396
397,1,[ 0.14667413 -0.77724266 -0.01825778  0.95696694],[ 0.13112926 -0.58188     0.00088156  0.65860426],397
398,1,[ 0.13112926 -0.58188     0.00088156  0.65860426],[ 0.11949167 -0.3867703   0.01405365  0.36619905],398
399,1,[ 0.11949167 -0.3867703   0.01405365  0.36619905],[ 0.11175627 -0.19185086  0.02137763  0.07798039],399
400,1,[ 0.11175627 -0.19185086  0.02137763  0.07798039],[ 0.10791925  0.00295822  0.02293724 -0.2078819 ],400
401,1,[ 0.10791925  0.00295822  0.02293724 -0.2078819 ],[ 0.10797841  0.1977448   0.0187796  -0.49324197],401
402,1,[ 0.10797841  0.1977448   0.0187796  -0.49324197],[ 0.11193331  0.39259693  0.00891476 -0.7799477 ],402
403,0,[ 0.11193331  0.39259693  0.00891476 -0.7799477 ],[ 0.11978525  0.19735356 -0.0066842  -0.4844734 ],403
404,0,[ 0.11978525  0.19735356 -0.0066842  -0.4844734 ],[ 0.12373232  0.00232657 -0.01637366 -0.1939046 ],404
405,0,[ 0.12373232  0.00232657 -0.01637366 -0.1939046 ],[ 0.12377885 -0.19255738 -0.02025175  0.0935685 ],405
406,0,[ 0.12377885 -0.19255738 -0.02025175  0.0935685 ],[ 0.1199277  -0.3873833  -0.01838038  0.37979385],406
407,0,[ 0.1199277  -0.3873833  -0.01838038  0.37979385],[ 0.11218004 -0.5822395  -0.01078451  0.6666252 ],407
408,0,[ 0.11218004 -0.5822395  -0.01078451  0.6666252 ],[ 0.10053525 -0.7772098   0.002548    0.9558931 ],408
409,1,[ 0.10053525 -0.7772098   0.002548    0.9558931 ],[ 0.08499105 -0.5821222   0.02166586  0.6640118 ],409
410,1,[ 0.08499105 -0.5821222   0.02166586  0.6640118 ],[ 0.0733486  -0.38730824  0.03494609  0.37822866],410
411,1,[ 0.0733486  -0.38730824  0.03494609  0.37822866],[ 0.06560244 -0.19269958  0.04251067  0.09676596],411
412,0,[ 0.06560244 -0.19269958  0.04251067  0.09676596],[ 0.06174845 -0.3884042   0.04444598  0.40255207],412
413,0,[ 0.06174845 -0.3884042   0.04444598  0.40255207],[ 0.05398037 -0.5841274   0.05249703  0.7089098 ],413
414,1,[ 0.05398037 -0.5841274   0.05249703  0.7089098 ],[ 0.04229782 -0.38977042  0.06667522  0.43320295],414
415,1,[ 0.04229782 -0.38977042  0.06667522  0.43320295],[ 0.03450241 -0.19565271  0.07533928  0.16226135],415
416,1,[ 0.03450241 -0.19565271  0.07533928  0.16226135],[ 0.03058936 -0.00168562  0.07858451 -0.10573515],416
417,1,[ 0.03058936 -0.00168562  0.07858451 -0.10573515],[ 0.03055564  0.19222736  0.07646981 -0.37262687],417
418,1,[ 0.03055564  0.19222736  0.07646981 -0.37262687],[ 0.03440019  0.38618442  0.06901727 -0.640252  ],418
419,0,[ 0.03440019  0.38618442  0.06901727 -0.640252  ],[ 0.04212388  0.19017158  0.05621223 -0.32665777],419
420,0,[ 0.04212388  0.19017158  0.05621223 -0.32665777],[ 0.04592731 -0.00570375  0.04967907 -0.01679116],420
421,0,[ 0.04592731 -0.00570375  0.04967907 -0.01679116],[ 0.04581324 -0.20150165  0.04934325  0.291143  ],421
422,0,[ 0.04581324 -0.20150165  0.04934325  0.291143  ],[ 0.0417832  -0.39729118  0.05516611  0.5989709 ],422
423,0,[ 0.0417832  -0.39729118  0.05516611  0.5989709 ],[ 0.03383738 -0.5931398   0.06714553  0.9085075 ],423
424,1,[ 0.03383738 -0.5931398   0.06714553  0.9085075 ],[ 0.02197458 -0.39898786  0.08531567  0.6376618 ],424
425,1,[ 0.02197458 -0.39898786  0.08531567  0.6376618 ],[ 0.01399482 -0.20515272  0.09806892  0.373019  ],425
426,1,[ 0.01399482 -0.20515272  0.09806892  0.373019  ],[ 0.00989177 -0.01155074  0.10552929  0.11279745],426
427,1,[ 0.00989177 -0.01155074  0.10552929  0.11279745],[ 0.00966076  0.18191323  0.10778524 -0.14481606],427
428,1,[ 0.00966076  0.18191323  0.10778524 -0.14481606],[ 0.01329902  0.37533975  0.10488892 -0.40164456],428
429,1,[ 0.01329902  0.37533975  0.10488892 -0.40164456],[ 0.02080581  0.5688297   0.09685603 -0.65950364],429
430,1,[ 0.02080581  0.5688297   0.09685603 -0.65950364],[ 0.03218241  0.7624798   0.08366596 -0.92018616],430
